team_name,1,2,3,4,5,6,7,8,9,10,11,12,Playoff Probability
Tkota10,0.479,0.107,0.201,0.076,0.043,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
Big,0.266,0.381,0.083,0.129,0.042,0.049,0.021,0.02,0.009,0.0,0.0,0.0,0.9500000000000001
14 Reaches,0.0,0.0,0.0,0.0,0.0,0.836,0.0,0.0,0.068,0.091,0.001,0.004,0.836
"Dicker, I barely know her",0.056,0.081,0.154,0.116,0.3,0.0,0.084,0.098,0.102,0.009,0.0,0.0,0.7070000000000001
Moore Brown Boutte!,0.048,0.105,0.191,0.271,0.087,0.0,0.067,0.084,0.124,0.023,0.0,0.0,0.702
vincentzhu,0.073,0.099,0.102,0.164,0.207,0.0,0.082,0.151,0.107,0.015,0.0,0.0,0.6449999999999999
aaron jones fc,0.038,0.102,0.095,0.123,0.105,0.0,0.213,0.131,0.16,0.033,0.0,0.0,0.46299999999999997
USS Cole,0.029,0.076,0.128,0.059,0.137,0.0,0.231,0.177,0.132,0.031,0.0,0.0,0.429
Pickens My Nose,0.011,0.049,0.046,0.062,0.074,0.0,0.184,0.218,0.202,0.154,0.0,0.0,0.242
Andrew Gay,0.0,0.0,0.0,0.0,0.005,0.021,0.118,0.121,0.092,0.618,0.025,0.0,0.026000000000000002
Chase Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.021,0.937,0.038,0.0
MARVIN HARRISON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.037,0.958,0.0
